Player,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ethan Thompson,SG,32,20.4,2.3,6.1,0.378,1.2,3.6,0.328,1.1,2.5,0.45,0.474,1.2,1.5,0.787,0.5,1.6,2.2,1.8,0.6,0.3,0.8,2.2,7
Micah Potter,C,47,19.3,3.2,6.2,0.515,1.5,3.6,0.423,1.7,2.7,0.64,0.637,1.8,2.1,0.842,1.2,3.7,5,1.5,0.5,0.3,1,1.7,9.7
Johnny Furphy,SG,35,18.4,2,4.3,0.47,0.7,2,0.324,1.3,2.2,0.603,0.547,0.5,1,0.486,0.9,3.5,4.4,1.2,0.6,0.2,0.8,1.9,5.1
Quenton Jackson,PG,49,18.3,3.1,6.7,0.47,0.9,2.4,0.356,2.3,4.3,0.533,0.534,2,2.4,0.824,0.6,1.8,2.3,2.9,0.6,0.1,1.3,1.7,9.1
Obi Toppin,PF,24,17.7,4.2,8.3,0.503,1.5,4.4,0.352,2.6,3.9,0.67,0.595,1.8,1.9,0.913,0.5,3.9,4.4,2.3,0.5,0,1.2,1.2,11.6
Jeremiah Robinson-Earl,PF,17,17.6,1.7,4.9,0.349,0.5,1.9,0.242,1.2,2.9,0.42,0.398,0.8,0.8,0.929,1.9,3.3,5.2,0.7,0.4,0.1,0.6,1.4,4.6
T.J. McConnell,PG,56,17.2,4.3,8,0.538,0.3,0.9,0.32,4,7.1,0.565,0.556,0.4,0.5,0.862,0.4,1.8,2.2,5.1,1,0.2,1.1,1.1,9.4
Isaiah Jackson,C,38,16.8,2.5,4.3,0.582,0,0,0,2.5,4.3,0.585,0.582,1.3,1.9,0.689,2.3,3.3,5.6,0.8,0.7,0.8,1.1,2.8,6.4
Kam Jones,SG,37,16.6,1.8,4.6,0.402,0.6,2,0.293,1.2,2.5,0.489,0.467,0.1,0.2,0.5,0.4,1.2,1.6,3.2,0.5,0,1,1.1,4.4
James Wiseman,C,4,14.5,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.3,0.5,0.5,1.3,0.8,2,0.8,0,0.3,1.3,2.5,3.3
Cody Martin,SF,4,13.8,0.5,2.5,0.2,0,1.3,0,0.5,1.3,0.4,0.2,0.8,1.5,0.5,0.3,3.3,3.5,0.5,1,0.5,1,1.3,1.8
Garrison Mathews,SG,15,13.1,1.4,3.5,0.404,1.1,3.1,0.37,0.3,0.4,0.667,0.567,1.3,1.5,0.826,0.1,1,1.1,0.7,0.4,0.2,0.2,1.3,5.2
Taelon Peter,SG,38,12.9,1.6,4.2,0.38,1.1,3.3,0.328,0.5,0.9,0.576,0.509,0.3,0.4,0.625,0.3,1.3,1.6,1.1,0.7,0.1,0.7,1,4.5
RayJ Dennis,PG,13,12.9,1.7,5.5,0.306,0.9,2.9,0.316,0.8,2.6,0.294,0.389,0.6,0.7,0.889,0.6,1,1.6,2,0.2,0.3,1.1,1.2,4.9
Mac McClung,SG,3,11.3,2.3,6,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1,1.3,0.75,0,1.3,1.3,0.3,1.7,0.3,0.7,2,6.3
Tony Bradley,C,38,10.9,1.6,2.8,0.557,0,0.1,0.5,1.5,2.7,0.558,0.561,0.8,1.1,0.744,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,4
Monte Morris,PG,6,10.8,1.2,3.3,0.35,0.3,1.3,0.25,0.8,2,0.417,0.4,0.3,0.7,0.5,0.2,1,1.2,1.5,0.2,0.2,0.3,0.5,3
